community,census_tract,county,hardship_index,ma_percentile,pop_total,percapita_income,percent_not_hs_grad,percent_unemployed,percent_dependent,percent_poverty,percent_crowding
Cambridge,3533, Middlesex County,21.445221369483956,4,3562,60750,2.4,3.5,28.10000000000001,8.3,1.2
North End,302, Suffolk County,21.499461786543183,4,1738,56039,6.6,2.3,17.5,14.6,1.6
,4042.01, Norfolk County,21.558865627189913,4,3849,94940,1.3,5.9,50.7,2.8,0
,3742, Middlesex County,21.68929788517957,4,4431,77757,1.2,4.4,39.7,2.6,2
,4043.01, Norfolk County,21.72772500474906,5,5510,90572,0.5,5.1,48.699999999999996,4,0.5
,3739, Middlesex County,21.802310771041608,5,6641,89547,0.8,4.8,47.8,5,0.5
Somerville,3506, Middlesex County,21.81458217232346,5,4441,27940,2.9,3.1,9.599999999999994,16.5,0
,2543.01, Essex County,21.870603414474285,5,4121,62043,1.4,2.5,42.199999999999996,1.3,0
,4044, Norfolk County,21.89612000870683,5,6723,59794,2.8,7.2,29,5.1,0
,3385, Middlesex County,21.914852790489803,5,5885,80444,0.3,2.6,45.900000000000006,3.5,1.6
,3733, Middlesex County,21.98348420203726,5,2797,56717,4.2,2.2,34,5.8,0
South Boston,604, Suffolk County,21.983498515324047,5,5378,53991,7.1,5.8,21.5,8.9,0
,3671, Middlesex County,22.00069400540539,5,3901,83151,1.2999999999999998,5,47.6,3.1,0
,3744, Middlesex County,22.009081577393193,5,6049,99775,2.5999999999999996,3.5,48.3,3.2,3.1
,3581, Middlesex County,22.092797553024038,5,5258,71567,2.1,3.3,43.599999999999994,1.2,0.8
,3201.04, Middlesex County,22.108539305939882,5,7742,60357,2,3.8,39.199999999999996,1.7,0
,104.08, Suffolk County,22.122167498776275,5,1484,45934,5.7,2,11.099999999999994,19.9,1.7
,3652.01, Middlesex County,22.296859670721542,5,5810,71514,1.4,5.2,42.8,2.7,0
,4007, Norfolk County,22.315246576591353,6,3325,61206,1.4000000000000001,6.5,30.299999999999997,6.6,0.7
,4422.01, Norfolk County,22.32904418168079,6,3914,63518,2.1,4.8,36.60000000000001,2.5,0.9
,3566.02, Middlesex County,22.385527396171636,6,4230,61382,2.6,1.9,39.7,3.8,0.6
Somerville,3504, Middlesex County,22.39637637081417,6,5587,46433,5.4,2.9,21.799999999999997,13.1,0
,3578, Middlesex County,22.398701884123984,6,3824,79470,2.4,3.1,43.699999999999996,4.3,1.6
,9501, Nantucket County,22.470869279997043,6,1395,71289,3,0.6,45.199999999999996,5.8,0.5
,3343, Middlesex County,22.47224952613884,6,7491,53187,1.8,3.1,39.10000000000001,0.7,0
,5011.02, Plymouth County,22.476954291127882,6,8571,65419,2,2.7,42.7,4.1,0
,3301, Middlesex County,22.60389005551842,6,8427,54490,1.5,4.1,37.3,2.5,0
,2543.02, Essex County,22.625163790042034,6,4764,62813,0.4,3.1,41.800000000000004,2.9,0.7
,2532.03, Essex County,22.63684221493601,6,4333,69654,3,3.5,46.10000000000001,0.7,0
Cambridge,3538, Middlesex County,22.67195007925783,6,4516,52618,3.2,5.6,14.400000000000006,16.4,2.2
,3702.01, Middlesex County,22.70750772207921,6,3629,58209,2.9,3.5,31.299999999999997,7.4,1.3
Somerville,3512.03, Middlesex County,22.716733265844812,6,4391,41833,7.2,3.9,17.299999999999997,13.2,0
,3632.02, Middlesex County,22.72405985133287,6,3709,52839,0.3,1.9,38.5,3.1,0.9
,8129.03, Hampden County,22.728640124279863,7,2723,4399,3.4,4.5,1.7000000000000028,12.7,0
,4091.02, Norfolk County,22.769731842664996,7,5311,52751,1.6,2.1,39.3,3.5,0
,9856, Bristol County,22.814175777452363,7,5263,35851,1.2,5.9,24.400000000000006,2.9,0.5
,4004, Norfolk County,22.829866103381814,7,6129,64991,3.8,4,32.900000000000006,10,0.7
,3704, Middlesex County,22.962126158353826,7,5184,43703,6,3.5,26.80000000000001,6.3,0
,3652.02, Middlesex County,22.971616415732793,7,4769,70988,0.6,4.8,47.39999999999999,1.4,0
,2681, Essex County,22.99176231325292,7,2677,49341,2.9000000000000004,2.7,38.4,1,0
,8219.04, Hampshire County,23.032301638243904,7,2633,38172,4,2.4,19,14.3,0.7
,2045, Essex County,23.064468571392634,7,3049,42841,7.300000000000001,1.6,28.799999999999997,4.8,0.4
,3384, Middlesex County,23.1084110006534,7,5849,73574,2.3000000000000003,2.3,48.2,5.4,0
,3822, Middlesex County,23.131854950583904,7,5493,48658,2,3.5,37.89999999999999,1.2,0
,3183, Middlesex County,23.139263864547136,7,8140,53851,2.9000000000000004,3.3,39.4,1.9,0
,3839.02, Middlesex County,23.22125972204044,7,5347,56359,0.7999999999999999,4.1,39.7,2.4,0.5
South Boston,602, Suffolk County,23.248982993101407,7,2412,54934,9.1,6.7,23.900000000000006,8,0
,3572, Middlesex County,23.249636821965364,7,3306,66899,3.5,6.5,39.4,3.2,0
,3823, Middlesex County,23.261525750585374,8,5932,61915,0.4,1.7,41.300000000000004,7.5,0.9
,5001.04, Plymouth County,23.273494033030477,8,4080,46388,2.4,6.3,30.900000000000006,2.9,0
,3241.02, Middlesex County,23.355277057092696,8,4682,48391,0.7,6.1,33.7,3.3,0
Cambridge,3528, Middlesex County,23.399777550211724,8,2105,45333,12.4,3.4,17.900000000000006,8.2,1.4
,3881, Middlesex County,23.44834050439944,8,5137,58597,0.3,7.2,34.19999999999999,4.7,0.8
,3826.01, Middlesex County,23.45157425712628,8,4580,50700,0.7,4.2,28.89999999999999,6.3,2.4
,7151, Worcester County,23.473171386017512,8,5067,51791,2.9000000000000004,4,38.5,1.8,0
,8212, Hampshire County,23.479921526508942,8,2290,7018,7.8,7.3,2.9000000000000057,6,0
,3573, Middlesex County,23.505501973535456,8,3123,52918,4.2,3.6,36.300000000000004,4.5,0
Cambridge,3537, Middlesex County,23.51259325770305,8,5527,30680,2.2,5.2,12.400000000000006,18.5,0
,7423, Worcester County,23.51346210420924,8,4158,45070,5,2.9,30.700000000000003,3.4,1.1
,4081.02, Norfolk County,23.517676373996128,8,4986,41915,2,3.9,33.7,1.7,0.4
,2532.05, Essex County,23.5891712168354,8,4365,55534,1.1,4.1,37.1,4.8,0.9
,4572, Norfolk County,23.59156791688129,8,5839,59156,2.4,2.9,44.800000000000004,1.8,0
,5071.03, Plymouth County,23.59318326194899,9,4383,65921,1.2000000000000002,5,42.099999999999994,3.2,0.9
,1207, Suffolk County,23.615633616622176,9,2155,50845,5.4,4.4,23.700000000000003,14.9,0.2
,3631.04, Middlesex County,23.631470417286057,9,6190,54469,4.3,4.5,38.3,1.8,0
,4061.02, Norfolk County,23.635705095712357,9,6648,61895,1.5,4.8,41.8,4.4,0
,3852.02, Middlesex County,23.738190961699356,9,7935,51212,4,5.8,34.099999999999994,3.1,0
,2091, Essex County,23.751332531092377,9,6427,49168,2.9000000000000004,5,36.89999999999999,1.4,0
,3702.02, Middlesex County,23.78445401380507,9,4458,48374,1.7,6.5,32.900000000000006,2.2,0.6
South End,705, Suffolk County,23.792778084158083,9,5921,78366,13.1,4.5,23.700000000000003,15.3,2.6
,3662.02, Middlesex County,23.83213916761021,9,5103,74195,0.3,4.8,49.49999999999999,4.6,0
,2544.02, Essex County,23.884308129822774,9,7170,58183,1.9,5.8,39.800000000000004,3.3,0
West Roxbury,1301, Suffolk County,23.904048627749933,9,6517,43650,2.4,2.9,35.5,3.3,0.5
,7424.01, Worcester County,23.95465137110557,9,5126,59552,2.1,5.6,41.3,2.8,0
,4031, Norfolk County,23.968318356451352,9,6697,65492,1.5,5.1,45.3,3.2,0
,131, Barnstable County,23.986810988600837,9,5227,42116,2.5,3.3,33.10000000000001,6.3,0
,3631.02, Middlesex County,24.006992947973405,9,5922,64307,2.1999999999999997,4.7,34.7,5.5,2.9
,2.01, Suffolk County,24.01057478463598,10,3284,39549,6.8999999999999995,2.8,16.400000000000006,13.7,2.1
,5309.02, Plymouth County,24.01337026418454,10,4669,45734,0.5,4.4,37.1,3.9,0
,7511.02, Worcester County,24.046791682464146,10,2997,48017,6.4,4.2,36.00000000000001,0.8,0
,3281, Middlesex County,24.087568810933547,10,3343,48987,2.5,3.8,39.599999999999994,2.2,0
,3172.02, Middlesex County,24.10535957544981,10,3624,50009,2.8,4.3,39,2.3,0
,2131, Essex County,24.11390392890087,10,8138,60935,2.1,7.1,40.199999999999996,2.7,0
,2603.02, Essex County,24.117354119982462,10,2783,47643,5.1,3.7,34.5,4.9,0
,2532.04, Essex County,24.137395830666566,10,5728,57880,1.6,4.2,41.599999999999994,1.8,1.1
,4001, Norfolk County,24.160593556680002,10,4782,61554,7.300000000000001,3.6,27.299999999999997,16.3,0.9
,7382.01, Worcester County,24.163087138343624,10,4147,43384,3.3000000000000003,6.6,30.700000000000003,3.5,0
,3171.01, Middlesex County,24.179876676821177,10,6038,51152,5.7,4.7,34.900000000000006,4.2,0
,3851, Middlesex County,24.197306794387575,10,6807,51157,3.6,3.5,38.900000000000006,2.8,0.4
,4174, Norfolk County,24.203430427435702,10,2359,46125,1.8,3,36.1,7.3,0
,4024, Norfolk County,24.209088346384203,10,6519,46699,3.3000000000000003,5.1,34.5,4,0
,4043.02, Norfolk County,24.22080188044276,11,3587,68813,2.6,6.8,44.900000000000006,1.6,0.2
