community,census_tract,county,hardship_index,ma_percentile,pop_total,percapita_income,percent_not_hs_grad,percent_unemployed,percent_dependent,percent_poverty,percent_crowding
,3221, Middlesex County,25.968308625439207,19,4879,45113,8.3,5.1,35.5,2.5,0.4
,415.01, Franklin County,25.968348209831465,19,3381,40075,2.1,3.2,36.099999999999994,5.4,1.5
,4041, Norfolk County,25.97224549274301,19,4157,64960,0.9,4.5,47.8,4,1.8
,3661, Middlesex County,25.98886131039662,19,4906,54344,3.5,5.5,40.99999999999999,7.1,0
,7171, Worcester County,26.000455097904762,19,2957,45110,5.5,3.5,38.599999999999994,2.7,1.1
,4198, Norfolk County,26.015325667584495,19,4368,39650,4,4.7,36.599999999999994,4.2,0.2
,2021.01, Essex County,26.032295486953714,19,1977,50513,5.4,5.8,41.2,2.3,0
,3201.03, Middlesex County,26.035745354992866,19,2834,58682,4.800000000000001,8.2,40.1,4.4,0
,4421.02, Norfolk County,26.038072853053674,19,7045,43952,3.4,6.1,37.5,0.8,1.1
,8215, Hampshire County,26.04488677167421,19,3297,36e3,3.1,2.1,37.800000000000004,7.3,0
,8136.02, Hampden County,26.04696392830105,19,6380,45334,4.5,4.1,40.5,2.7,0.5
,3837, Middlesex County,26.06609462364501,20,5468,37930,6.8999999999999995,4.4,35.89999999999999,2.4,0
,5041.02, Plymouth County,26.070279107274192,20,5168,57139,2.8,6.4,45.4,3,0
,2033.02, Essex County,26.088736808089337,20,4463,56831,0,4.4,45.699999999999996,6.3,0.9
,7.04, Suffolk County,26.09263681720729,20,4261,30780,3.6,7.5,8.400000000000006,26.2,0.5
,4161.01, Norfolk County,26.092675240256707,20,5675,58269,4.4,4.6,42.8,5.5,0.9
,7613, Worcester County,26.09810255758813,20,3512,35943,3.7,4.8,33.3,5.7,0.4
,1201.04, Suffolk County,26.09853066052378,20,2273,44042,4,5.6,24.39999999999999,20.1,0
,8132.04, Hampden County,26.102806539512283,20,3213,38699,4,4.6,36.900000000000006,4.5,0
,3396, Middlesex County,26.113413366413905,20,5583,34886,8,4.2,19.5,13.8,1.6
,8226.03, Hampshire County,26.118961421533054,20,1727,36236,3.2,5.7,36.5,2.4,0
,4113.01, Norfolk County,26.15160687240564,20,5654,57633,4.3,5.4,46.10000000000001,3.1,0
,3364.02, Middlesex County,26.169700318034995,20,5014,44459,6.7,4.1,36.699999999999996,3.8,0.8
,3351, Middlesex County,26.200063472758576,20,5546,46573,4.5,8.4,33.3,4.3,0.5
,4081.01, Norfolk County,26.229648084879788,20,8083,50525,5.5,6.8,38.8,3.9,0
,3383, Middlesex County,26.23122423928775,20,3213,67922,2.1,10.3,47.099999999999994,1.3,0
,5081.01, Plymouth County,26.251281798102138,21,6714,39659,3.7,4.4,34.7,4,1.5
,3313, Middlesex County,26.263140127415344,21,7234,43960,5.7,5.3,38.3,1.5,0.6
,3838, Middlesex County,26.270114393313445,21,5192,41921,4.1,6.6,36.9,2.2,0.3
,7581.02, Worcester County,26.272665285318784,21,7663,44044,3.7,4.9,38.49999999999999,4.2,0.6
,9342, Berkshire County,26.28152052688111,21,1195,41544,3.8,2.4,41.9,5.4,0
West Roxbury,1302, Suffolk County,26.282143882411514,21,5008,46919,4.2,2.9,36.7,8.9,1.3
,7431, Worcester County,26.293269410599915,21,7674,44971,3.7,6.7,37.2,4.9,0
,8219.01, Hampshire County,26.29581387268695,21,3440,39888,2.6,7.3,27.700000000000003,13,0
,2684, Essex County,26.302022601294563,21,4640,54037,2.9,8,37.39999999999999,8.3,0
,3.02, Suffolk County,26.302883667508016,21,2880,37516,8.100000000000001,1.4,24.200000000000003,18.7,0.7
,4012, Norfolk County,26.314354881667743,21,7164,62308,3.1,6.2,40.7,4.3,2.5
,3173.02, Middlesex County,26.314412365600475,21,5605,42087,4.2,4.4,38.400000000000006,4.1,0.5
,2526.03, Essex County,26.318853458290068,21,3016,36303,5.8999999999999995,6.1,31.10000000000001,3.3,0.8
,3241.01, Middlesex County,26.331465286492847,21,4677,47555,2.7,5.9,38.49999999999999,5.3,0.7
,8121.01, Hampden County,26.33224105200813,22,5436,37762,8.2,3.4,37.10000000000001,2.5,0
,6002.04, Bristol County,26.361348275348885,22,3985,45706,3.8,5.6,38.8,5.7,0
,1805, Suffolk County,26.376723957804472,22,4089,38034,4.3999999999999995,6.7,29,10,0
,3131.02, Middlesex County,26.379762040048487,22,5942,39826,3.9,5.9,30,4.1,2.4
,2201.01, Essex County,26.395866298694553,22,4048,50760,2.6,5.1,43,5.1,0.3
,6304, Bristol County,26.409888327572386,22,4971,42068,4.4,3.7,35.30000000000001,3.3,2.3
,2701, Essex County,26.411776401755663,22,6081,44910,4.6000000000000005,5.1,37.3,5,0.7
,2033.01, Essex County,26.413300518171337,22,4062,54639,3.2,6,42.699999999999996,6.4,0
,4112, Norfolk County,26.417081381353587,22,7305,43414,6.8,4.6,38.4,3.8,0
,3392, Middlesex County,26.422052503640245,22,5614,44333,3.4,5.3,38.39999999999999,2.7,1.2
,3172.01, Middlesex County,26.43393492001579,22,2778,44524,3.1,6.4,41.1,1.9,0
,4401, Norfolk County,26.440602459666092,22,8735,40540,4.6,6.8,33.5,4.8,0.4
,4181.01, Norfolk County,26.443077924420223,22,4672,39990,6.7,2.7,28.200000000000003,11.2,1.9
Cambridge,3534, Middlesex County,26.45481619350198,22,2888,47124,8.399999999999999,4.1,21.900000000000006,11.7,3.9
,3567.02, Middlesex County,26.471158806497375,22,6816,49815,3.8000000000000003,7,39.300000000000004,5.3,0
,2641, Essex County,26.502801279762082,23,6646,39439,3.9,4.4,39.599999999999994,2.6,0.4
,3344, Middlesex County,26.542581618801858,23,6555,41169,6.1,4.1,38.50000000000001,3.6,0.3
,5031.02, Plymouth County,26.547368873459902,23,6914,44432,3.6,6.6,40.49999999999999,2.1,0
,408, Franklin County,26.54817229020149,23,5071,33608,6.5,3.1,23.89999999999999,16.3,0.7
,3372.02, Middlesex County,26.557275276879434,23,4747,40087,8.3,5.2,36.89999999999999,1.5,0
,2102, Essex County,26.58034602249236,23,5237,39063,8.7,1,39.1,5.9,0
,5106, Plymouth County,26.583882180563055,23,2935,37593,6.800000000000001,4.8,38.199999999999996,1,0
,8106.02, Hampden County,26.60371298570131,23,2563,36976,6.7,4.9,35.900000000000006,3.3,0
,5071.04, Plymouth County,26.62227828461098,23,5521,48827,2.3,7.7,41.300000000000004,3.3,0
,3152, Middlesex County,26.63148312437525,23,7926,41522,5.1,5,37.7,3.8,0.5
,6102.04, Bristol County,26.642164855616926,23,6061,47867,2.8,8.2,38.2,3,0.6
,3701.02, Middlesex County,26.642453629592126,23,7231,47887,6.6,7.6,26.700000000000003,10.5,1.5
,4035, Norfolk County,26.66536609005352,23,6362,54188,1.6,8.6,41.900000000000006,4.9,0
,3011.02, Middlesex County,26.668688467857063,23,5260,40307,3,6.1,35.099999999999994,2.5,1.7
,7502, Worcester County,26.68683140727069,24,7411,42359,5.2,5.1,35.5,6.1,0.7
,3154.02, Middlesex County,26.691816349461423,24,3050,37869,4.9,4.8,36.00000000000001,5.8,0.1
,104, Barnstable County,26.693457677329764,24,3020,35202,0.7,2,44.699999999999996,4.2,0
,5202.02, Plymouth County,26.69635138150394,24,5846,41277,4.2,7.6,34,2,1.2
Cambridge,3523, Middlesex County,26.69709910260184,24,3671,55922,3.5999999999999996,6.2,23,22.1,2.5
,3211, Middlesex County,26.700967420188636,24,7107,45642,2.7,4.1,37.6,6.2,1.9
,7081, Worcester County,26.703491108611544,24,7414,36956,6.2,3.8,33.599999999999994,3.4,1.7
,5.03, Suffolk County,26.710632132166737,24,2096,35897,1.1,5.5,12,28.3,2.2
,3745, Middlesex County,26.734017481300537,24,4799,51648,3.7,4.6,42.7,3.2,1.5
,5212.02, Plymouth County,26.739214551552156,24,3720,33667,4.1,5.7,34.5,4.8,0
,4008, Norfolk County,26.76894921368671,24,5557,54048,1.7,3.8,35.599999999999994,10,3.5
,3361, Middlesex County,26.771665742095138,24,5507,44169,8.4,3.3,41.1,3.3,0
,5061.01, Plymouth County,26.79449017890479,24,6609,44270,2.4,3.6,42.9,4.5,0.8
,2092, Essex County,26.821162562984103,24,5843,54322,2.9000000000000004,7.9,44.5,1.9,0.2
,2175, Essex County,26.832156483223216,24,6419,40204,5.6,3.9,35.2,9.9,0
,6112.02, Bristol County,26.843977632491477,25,6708,36479,6.6,6.2,33.7,4.2,0
,6112.01, Bristol County,26.84546943832136,25,2946,33093,3.5999999999999996,4.4,36.8,5.2,0
,8213, Hampshire County,26.852484867211768,25,4279,40622,2.9,3.3,38.099999999999994,9.2,0.5
,4002, Norfolk County,26.852926162131837,25,5604,49974,3.1,4.2,24.400000000000006,27.5,0.8
,3585, Middlesex County,26.862611219519263,25,5374,67111,3.5999999999999996,6.9,44.3,7.5,1.2
,8226.06, Hampshire County,26.86600547393031,25,3596,36707,3.9,5,34.30000000000001,7.5,0.4
,3583, Middlesex County,26.883010877162707,25,5808,79459,5.5,8.7,45.2,3.7,2.6
,3872.02, Middlesex County,26.897764573706635,25,4082,48238,3.7,7.3,38.9,3.2,0.9
,7461, Worcester County,26.902398019385192,25,5938,44403,4.199999999999999,8.1,39.099999999999994,1.7,0
,3683, Middlesex County,26.910674651395055,25,5268,39509,9.4,3.7,27.799999999999997,8.9,1.8
,4091.01, Norfolk County,26.91296615721332,25,6349,35165,15.8,4.1,26.299999999999997,4.6,0.6
,3171.02, Middlesex County,26.914335751052914,25,4545,42474,2.3,7.2,35,4.5,1.4
,4412.02, Norfolk County,26.92267531191473,25,2830,49183,1.2000000000000002,4.2,39.900000000000006,3.3,3.3
,107, Barnstable County,26.92289219873123,25,2707,57612,3.5999999999999996,4.3,46.7,8.3,0
,3586, Middlesex County,26.928103571964062,26,6140,59076,1.7000000000000002,8.3,43.6,4,1
,7284, Worcester County,26.932539565676077,26,5176,39700,5.3,7.9,34.900000000000006,3.2,0
,3372.01, Middlesex County,26.936843040178633,26,3108,36438,8.7,0.7,37.3,4.9,1.1
,5252.04, Plymouth County,26.94051729584059,26,3806,37639,4.800000000000001,5.5,39.199999999999996,2.1,0
,3682, Middlesex County,26.9485155229422,26,4461,43262,7.199999999999999,6.3,32.8,5.8,0.9
,3840.01, Middlesex County,26.95386023729051,26,1575,37654,4.6,5.1,34.30000000000001,5.2,1.1
,2101, Essex County,26.96476370412422,26,6437,40908,7.8,4.5,36.400000000000006,5.7,0.1
,9855, Bristol County,26.979798263489823,26,5567,10571,13,8.8,7.5,8.6,0
,6111.01, Bristol County,26.986605925964426,26,4477,38295,3.4000000000000004,6.1,38.599999999999994,3.7,0
,9351, Berkshire County,27.0032605818397,26,2509,48158,4.9,5.5,41.900000000000006,4.5,0.2
,7001, Worcester County,27.01306115471758,26,6160,37469,3.9,6.3,34.3,7.4,0
,3143.02, Middlesex County,27.013334180482133,26,3095,41563,9.5,6.1,35.89999999999999,2.4,0
,3577, Middlesex County,27.021854352304317,26,3725,48817,5.4,4.7,38,8.8,0.7
,2221, Essex County,27.04967036785288,26,3608,49616,2.9000000000000004,5.1,40.7,6.5,1.2
,2044, Essex County,27.050753763549054,26,3600,38922,10.3,4.9,32.3,5.3,0.4
,4151.01, Norfolk County,27.07375984163542,27,4835,49563,2.7,6.8,40.699999999999996,7.5,0
,7561.02, Worcester County,27.09717710500173,27,8603,37189,3.8000000000000003,8.6,34.2,3.5,0
,4191, Norfolk County,27.104369957649777,27,6104,38620,7,4.1,36.5,4.8,0.6
,3271.01, Middlesex County,27.11132112815426,27,4002,36386,6,3.8,38.5,2.2,0.8
,7395, Worcester County,27.117325090747645,27,7806,46915,5.9,5.7,41.1,1.8,0.8
,7394, Worcester County,27.118420849826688,27,8827,45137,4.1,5.5,40.60000000000001,3.3,0.9
,3373, Middlesex County,27.126765915780485,27,5568,40069,5.5,9.7,30.5,5.7,0
,3741, Middlesex County,27.12895651516938,27,4597,49051,3.8,6.9,36.10000000000001,11.4,0
,3871, Middlesex County,27.15726253073736,27,4215,46336,2.5999999999999996,5.3,41.5,4.4,1.1
Cambridge,3546, Middlesex County,27.161750199850882,27,5187,55271,4,8.5,31,10.3,2.3
,139, Barnstable County,27.164396119210878,27,5396,42644,1.8,2.9,40.8,9.1,0.9
Dorchester,1007, Suffolk County,27.16891640830114,27,4370,40926,11.5,5.4,33.8,4.3,0
,3334, Middlesex County,27.17086718988131,27,6151,37299,7.6,6,32.5,6.7,0
,101.04, Suffolk County,27.171556698936687,27,4784,36699,3.3,10.9,9.700000000000003,23.8,1.3
,2141, Essex County,27.174660233137775,28,6379,55726,4,3.7,47.599999999999994,5.3,0.8
,3143.01, Middlesex County,27.183913001610346,28,8340,36912,5.5,5.9,35.7,3.6,0.5
,2522.02, Essex County,27.192817264370987,28,3120,39032,4.800000000000001,8.9,35.69999999999999,1.6,0
,2532.01, Essex County,27.212875018567235,28,2851,42115,3,4.2,38.39999999999999,7.1,1.2
,3681.02, Middlesex County,27.215289428776654,28,3745,44628,7.6,5.4,33.900000000000006,1.8,2.7
,5251.04, Plymouth County,27.220487365499636,28,6430,47242,4.699999999999999,8.5,36.099999999999994,6.8,0
,3353.02, Middlesex County,27.236150002917594,28,5219,36800,3.0999999999999996,4.1,37,2.6,2.2
,5431, Plymouth County,27.244358638641014,28,2868,36815,5.9,6.7,34.39999999999999,5,0
,8124.01, Hampden County,27.246603257485997,28,6346,36911,5.4,5.1,38.8,3.5,0
,7411.01, Worcester County,27.247988459313657,28,4611,52637,1.7000000000000002,6.4,40.900000000000006,4.7,2.1
,2181, Essex County,27.249632163252897,28,5286,68228,3.5999999999999996,10,45.00000000000001,7,0
,3164, Middlesex County,27.261013534442785,28,6713,33365,8.2,4.8,30.39999999999999,4.3,1.4
,4162, Norfolk County,27.26984231292136,28,6459,42258,3.1,6.4,38.2,3.1,1.3
,6533.04, Bristol County,27.27793026280054,28,3261,55457,8.5,7.5,41.400000000000006,3.5,0
,9343, Berkshire County,27.28269499263746,28,1758,46697,3.7,4.8,43.89999999999999,4.4,0.4
,8138.02, Hampden County,27.292762634617958,29,3695,38412,6,4.8,35.39999999999999,3.2,1.6
,4005, Norfolk County,27.30503133402016,29,5099,53196,5.1,7.9,28.80000000000001,13.5,1.9
,3364.01, Middlesex County,27.313709158849772,29,4388,41915,3.1,8.3,27.200000000000003,6.7,3
,5021.01, Plymouth County,27.324836124324758,29,6070,30167,4.699999999999999,4.8,33.3,5,0.8
,8134.03, Hampden County,27.335046707279687,29,3956,37122,2.4,4.7,41.2,5.1,0
,7393, Worcester County,27.35385827454652,29,3748,37863,3,4.1,41.800000000000004,5.4,0
,3576, Middlesex County,27.36406326408888,29,2604,39394,3.1,5.6,35.2,5.5,1.7
,3689.01, Middlesex County,27.391607665071152,29,7363,34226,10.7,7.6,21.099999999999994,6.9,1.8
,4562, Norfolk County,27.404498583327683,29,3369,36057,8.5,6.2,32.599999999999994,5.5,0
,2213, Essex County,27.40596834773828,29,4450,49655,5.9,7.9,38.00000000000001,6.6,0
,4181.02, Norfolk County,27.416918714621193,29,3253,35500,10.1,5,26.099999999999994,10.7,0.8
,3732, Middlesex County,27.41903497829144,29,4607,41311,7.5,5,37.5,6.2,0
,3567.01, Middlesex County,27.437649945250346,29,6470,45963,4.800000000000001,5.9,32.19999999999999,8.4,2.4
,7308.02, Worcester County,27.468950701614972,29,2083,40447,4.1,3.7,32,16.3,0.6
,5201, Plymouth County,27.473344928146627,30,6616,34077,3.3,7.1,31.700000000000003,2.3,2.2
,4152, Norfolk County,27.480649269539953,30,5712,52620,3.5999999999999996,8.9,40.2,6.6,0
,2541, Essex County,27.490954366097125,30,6207,56726,4.7,6.7,41,5.5,1.7
,3302, Middlesex County,27.49272345002287,30,6969,43215,5,7.3,34.3,4.4,1.6
,8132.05, Hampden County,27.503198441926134,30,6963,33780,5.3,4.4,33.5,6.7,1.1
,4111, Norfolk County,27.506420459438516,30,7916,42181,6.300000000000001,4.4,40.6,1.3,1.4
,3691, Middlesex County,27.5135580869555,30,4977,46850,5.5,6.9,36,4.5,1.7
,8126, Hampden County,27.516139335518982,30,6355,39222,3.3,9.3,36.599999999999994,2.8,0
,5411, Plymouth County,27.545346166070193,30,5385,40148,6.5,4.4,37.1,5.1,1.1
,3839.01, Middlesex County,27.546722279143168,30,7933,42564,3,6.2,41.1,3.8,0.6
,4023, Norfolk County,27.555041721308058,30,4192,39497,3.8,3.7,46.7,1.4,0
,2682, Essex County,27.560868042503994,30,6255,53256,2.9000000000000004,7.6,41.5,5.7,1
,7095.01, Worcester County,27.57341802962055,30,2145,37370,7.6000000000000005,5.4,37.6,2.3,0.4
,5453, Plymouth County,27.587478059135176,30,3871,31910,7.2,3.1,34.7,8.6,0
,7451, Worcester County,27.595891044339854,30,5942,39573,8.2,5,40,2.3,0
,6303, Bristol County,27.603300220331942,31,8909,37557,2,4.7,42.5,3.4,0.6
,3394, Middlesex County,27.60971622319381,31,3292,41436,8.6,4.8,24.299999999999997,21.5,0
,7614, Worcester County,27.6125598643571,31,6567,49575,3.4000000000000004,9.3,37.3,8.2,0
,3172.03, Middlesex County,27.61441690351671,31,4193,44913,3.5,4.5,42.199999999999996,2.9,1.8
,3162.02, Middlesex County,27.615111244324822,31,4513,38648,10.5,5.2,34.89999999999999,3,0.6
West Roxbury,1304.02, Suffolk County,27.621824350849902,31,4908,37603,6.8,4.7,36.8,7,0
,3872.01, Middlesex County,27.63340299651475,31,5900,41964,2.6,5.9,41.5,4,0.7
,8202.04, Hampshire County,27.643976652134914,31,6191,36114,3.1,7.1,34.400000000000006,8.4,0
,3354, Middlesex County,27.649703365740365,31,4880,39543,5.199999999999999,7.7,38.2,1.7,0.3
,6111.02, Bristol County,27.652000629932733,31,5231,27672,6.5,8,23.099999999999994,11.4,0
,3212, Middlesex County,27.654230110201123,31,6275,35244,10.8,4,32.400000000000006,5.7,0.7
,7309.02, Worcester County,27.65674911585462,31,4098,23176,4.7,5.1,25.400000000000006,13.5,0
,8225, Hampshire County,27.657794585877138,31,6022,37005,7.2,4.3,38.3,5.4,0
,5304, Plymouth County,27.659123406174263,31,5814,38445,4.3,6.9,40.3,2.1,0
,9314, Berkshire County,27.67056337630143,31,1777,33715,5.2,7.6,31.799999999999997,7,0
Somerville,3510, Middlesex County,27.676369726111776,32,7757,38693,5.300000000000001,6.8,18.099999999999994,20.9,1.9
,2211, Essex County,27.679825588913868,32,4471,48594,5,7.7,39.4,6.8,0
,2526.02, Essex County,27.682838873211676,32,4242,39111,5.4,6.4,33.7,3.8,1.9
,7.01, Suffolk County,27.690507913347428,32,3777,27569,6.8999999999999995,7.7,7.799999999999997,29.3,0
,4163, Norfolk County,27.692970514425998,32,4929,50828,4,6.3,43.10000000000001,5.9,0.5
,5062.03, Plymouth County,27.728634147132365,32,5122,37083,6.4,6,36.3,5.7,0
,140.02, Barnstable County,27.732654374498736,32,4173,35250,3.3000000000000003,2.3,41.699999999999996,7.3,0.4
,8206, Hampshire County,27.75302409424515,32,1817,5086,0,11.1,1.0999999999999943,25.3,0
,9005, Berkshire County,27.757211065495326,32,3288,40922,5.8999999999999995,4.1,42.7,4.7,0
,3411.01, Middlesex County,27.761070464970334,32,3767,34114,8.6,6.7,22.80000000000001,12.2,1.2
,3681.01, Middlesex County,27.76278944222447,32,6020,47281,5.9,6.9,29.900000000000006,11.4,2
,7441.01, Worcester County,27.763301180552062,32,7189,41127,3.5,5.7,36,9.5,0.8
,6331, Bristol County,27.786523616579895,32,5627,36715,6.6,5.3,36.60000000000001,4.2,0.7
,5212.01, Plymouth County,27.79783264222657,32,3118,34139,8.5,7.2,29.5,7.7,0
,6423, Bristol County,27.80688369584652,33,2245,38261,11.3,5,35.8,4,0
,3222, Middlesex County,27.807856214861243,33,3828,43062,7.5,4,38.4,3.1,2
,3363, Middlesex County,27.816221104998803,33,6677,41662,5.199999999999999,5.2,38.39999999999999,1.2,2.4
,4412.03, Norfolk County,27.81974400377736,33,4011,39759,3.5,7.3,38.300000000000004,5.9,0
,5303, Plymouth County,27.83494295987308,33,4024,36056,5.8,4.3,34.5,7.2,1.3
,3271.03, Middlesex County,27.844037993549886,33,3698,41860,5.3,6.9,37.400000000000006,7.1,0
,7521, Worcester County,27.851567857580125,33,8624,34939,3.3,6.6,37.9,3.3,0.6
,135, Barnstable County,27.857813675765414,33,6649,38201,2.8,8.8,37.599999999999994,3.9,0
,5232.01, Plymouth County,27.858681896331202,33,2934,37418,9.3,4.6,39.50000000000001,2.3,0
Charlestown,402, Franklin County,27.86818725430061,33,4486,32053,5,5,34.5,7.5,0.4
,3162.01, Middlesex County,27.869677242288603,33,4157,40006,4.2,5.3,37.3,3.9,2
,4133, Norfolk County,27.86995901429155,33,4911,41521,3.4000000000000004,5.6,40.2,6.9,0.4
,3612, Middlesex County,27.899542373644568,33,7092,47175,12.3,5.6,35.5,5.7,0.6
Cambridge,3530, Middlesex County,27.90993547993858,33,3626,49555,10.1,5.2,25.5,17.8,1.8
,4173, Norfolk County,27.911879983149436,33,2794,54945,4.8,7.6,38.2,6,2.2
,132, Barnstable County,27.923786093890495,34,4774,42831,2.2,7.6,42.699999999999996,2.5,0.4
,3371.01, Middlesex County,27.92659724027151,34,3369,38414,4.4,4.1,39.599999999999994,9.1,0
,5051.02, Plymouth County,27.927764312467332,34,5119,50790,2,9.7,42.4,3.7,0.4
,5001.03, Plymouth County,27.95039827888542,34,2277,47207,5,7.6,41.89999999999999,4.4,0
,108, Barnstable County,27.960228900303605,34,5114,44268,1.8,6.1,44.6,5.8,0
,7211.01, Worcester County,27.969429647529676,34,1803,31977,6.9,6.9,32.7,5.7,0
,2662, Essex County,27.980687977356467,34,5549,36609,8.2,5.6,33.099999999999994,5.1,1.2
,7364, Worcester County,27.98387905319512,34,2883,34183,6.2,8.9,32.8,3.9,0
,4022, Norfolk County,27.992165875033596,34,2133,37808,7.6,6.6,37.099999999999994,1.6,0.7
,5012.02, Plymouth County,27.995126576115908,34,7062,62528,2.6,5.4,53.4,6.7,0
,2172.01, Essex County,28.013111189920888,34,4229,35436,3.0999999999999996,6.9,35.7,6.1,0.7
,4223.01, Norfolk County,28.013274929779232,34,3038,43126,2.1,10.5,40.2,1.9,0
,130.02, Barnstable County,28.018577293748447,34,3096,67698,1.5,7,52.199999999999996,9.3,0
,5231, Plymouth County,28.01938175837677,34,3215,34027,4,8.8,33.10000000000001,3.5,0.8
,9333, Berkshire County,28.041932082102395,35,1481,39933,5.7,4.9,38.8,8.5,0
,5082, Plymouth County,28.04789828772975,35,6215,36809,5.6,6.7,38,4.4,0
,9008, Berkshire County,28.058090162792144,35,4948,36561,2.4,8,38.8,4.3,0
Charlestown,403, Franklin County,28.072944743012105,35,3022,31602,5.2,5.5,37.89999999999999,4.3,0
,3214, Middlesex County,28.07394511713011,35,3053,40098,6.1,7.4,35.099999999999994,2.7,1.6
,4171, Norfolk County,28.077047643023793,35,4312,40456,8.3,4.7,29.799999999999997,6.9,3.1
,5091.02, Plymouth County,28.08264095999918,35,6082,34737,8,7.8,34,3.4,0
,6121, Bristol County,28.08930212501245,35,4617,36678,3.8,3.5,37.900000000000006,7.6,1.5
,4431.02, Norfolk County,28.093442801555096,35,8630,43648,8.399999999999999,7.4,33.80000000000001,5.2,1.2
,4228, Norfolk County,28.113464421401854,35,3903,38588,3.6,8.3,35,5,1
,3181, Middlesex County,28.114198426835994,35,6789,43055,2.3,5.6,46.300000000000004,1.9,0.7
,7402, Worcester County,28.140528216549097,35,3107,39474,9.9,4.3,39.8,4.2,0
,3324, Middlesex County,28.180053379272426,35,3881,47485,2.1,7.8,42.400000000000006,6.6,0.3
,2542, Essex County,28.185861592615463,35,5056,43527,4.5,4.8,33,11.8,2.3
,2151.01, Essex County,28.186086054765926,35,4914,52625,1.9,5.9,41.1,8,2.4
,7121.02, Worcester County,28.188240523497665,36,4224,42100,6.6,5.2,37.5,4.8,1.7
,2051, Essex County,28.193587470337295,36,5056,34207,13.3,3.7,29.799999999999997,5.3,1.6
,7042, Worcester County,28.19738523248169,36,2892,31567,4.2,9.4,32,3.4,0.6
,5.02, Suffolk County,28.207053315818026,36,6350,22543,6.9,5,9.300000000000011,28.9,0.9
,3131.01, Middlesex County,28.22398917185953,36,6111,47605,5.300000000000001,8,34.39999999999999,5.2,2.5
,5221.01, Plymouth County,28.224927409079527,36,4802,31998,2.3,7.3,34.099999999999994,4,1.6
,2683, Essex County,28.247365955162707,36,4194,44547,2.8,7,36.1,12.9,0.4
,7532, Worcester County,28.25045431484023,36,6403,29312,7.1,3.5,37.6,5.8,0
,136, Barnstable County,28.250497799565064,36,6599,29951,3.7,3.8,37.400000000000006,9.4,0
,8223, Hampshire County,28.25135880747924,36,5145,27226,4.7,6.4,31.80000000000001,8.4,0
,5232.02, Plymouth County,28.253512471948067,36,7964,36447,4.1,5.7,38.900000000000006,4.5,0.9
,5306, Plymouth County,28.263411835478152,36,6629,31598,7.4,6.9,31.700000000000003,6,0.4
,4195, Norfolk County,28.268540454713516,36,2940,38588,7.699999999999999,5.6,42.300000000000004,1.2,0
,4431.01, Norfolk County,28.270045875357713,36,8052,37982,4.4,8.7,34.5,0.7,2.1
,2651.02, Essex County,28.292600522319656,37,4606,42607,1.9,3.2,39.60000000000001,3.3,4.3
,3163, Middlesex County,28.295402520804657,37,8180,39252,4.2,5.9,31.39999999999999,6,3.5
,2053, Essex County,28.306744636696795,37,4486,34819,5.7,6.5,32,6.3,1.6
,3824, Middlesex County,28.309319058720593,37,4711,46028,8.6,4.9,41.400000000000006,5.4,0.5
,5071.01, Plymouth County,28.315254726723893,37,5393,46233,1.1,6.6,44.8,5,0.9
,2105, Essex County,28.315875443599108,37,6617,33226,8.200000000000001,5,37.9,4,0
,2171, Essex County,28.317534032609505,37,7829,44665,5.3,9.9,38.099999999999994,2.9,0.4
,4104, Norfolk County,28.34730560379185,37,5928,39045,4.8,4.2,37.5,5.5,2.3
,5062.04, Plymouth County,28.37111448515142,37,5420,35246,2.7,5.1,38.099999999999994,6.5,1.3
,152, Barnstable County,28.37798547236258,37,2244,54931,1.1,9.6,47.699999999999996,4.2,0
,8227, Hampshire County,28.38160936473162,37,3261,32391,6.1,4.2,35.19999999999999,6.7,1.2
,411, Franklin County,28.386871289189376,37,3705,33439,4.7,4,39.49999999999999,8.1,0
,151, Barnstable County,28.397562652902284,37,3771,37495,3.9,5.4,40.7,7.3,0
,134, Barnstable County,28.40339841968422,37,4e3,43095,0.5,7.6,43.8,5.1,0.4
,2081.01, Essex County,28.40975441502972,37,5060,32775,9.5,5.5,34,4.7,0.5
,3747, Middlesex County,28.4318047126914,38,4849,48108,5.6,4.2,39.199999999999996,6.6,2.8
,2544.01, Essex County,28.442871882536114,38,3304,55288,1.3,6.9,44.300000000000004,2.7,3.3
,8104.14, Hampden County,28.44610449462625,38,7280,33390,10.399999999999999,6.3,35.2,3,0
,7283, Worcester County,28.461523104309496,38,4852,36917,6.699999999999999,4.1,41,2.8,1.1
,7306, Worcester County,28.46878943263671,38,9517,34793,7,7.7,31.89999999999999,6.7,0.6
,5441, Plymouth County,28.473638060105895,38,5728,36461,11.5,6.2,34.39999999999999,3.2,0.5
,4178.01, Norfolk County,28.475740007153018,38,4995,41621,4.1,8,34.39999999999999,2.1,3.1
,7191, Worcester County,28.493479560879805,38,7896,41390,5.3,5.7,38.49999999999999,4.9,1.7
,4412.04, Norfolk County,28.501483495846433,38,4446,43921,4.7,8.4,38.099999999999994,6,0.6
,5052, Plymouth County,28.51292398927843,38,6719,52511,3.4,7.1,47.199999999999996,6.2,0
Back Bay,105, Barnstable County,28.527110657903037,38,2839,52538,1.4,0.9,58.6,6.8,0
,9201.01, Berkshire County,28.550483703662014,38,4365,28831,7.5,4.3,34.5,8.4,0
